Location,Movie Title,Date,Amenities
"Heritage Green Park, Chicago """,Ghostbusters ,5-Aug,
,,,
"Trebes Park, Chicago """,Cloudy With a Chance of Meatballs 2,5-Aug,
,,,
"Loyola Park, Chicago """,Despicable Me 2,6-Aug,
"Selections from the International Latino Cultural Center.""",,,
,,,
"Piotrowski Park, Chicago """,The Hunger Games: Catching Fire,6-Aug,
,,,
"Austin-Foster Playlot Park, Chicago """,The Lego Movie,7-Aug,
"Family friendly activities and games that won't hurt like a mother when you step on them.""",,,
,,,
"Augusta Park, Chicago """,Man of Steel,7-Aug,
"Bathrooms for long, boring stretches of non-action.""",,,
,,,
"Rosedale Park, Chicago """,Man of Steel,7-Aug,
"Bathrooms for long, boring stretches of non-action.""",,,
,,,
"Wicker Park, Chicago """,The Hunt for Red October,7-Aug,
"Wormhole Coffee, plenty of terribleÂ Sean Connery impressions.""",,,
,,,
"Jefferson Memorial Park, Chicago """,The Blues Brothers ,8-Aug,
"Family friendly activities and games, parking for AT LEAST a hundred smashed cop cars.""",,,
,,,
"Independence  Park, Chicago """,The Lego Movie,8-Aug,
"Family friendly activities and games that won't hurt like a mother when you step on them.""",,,
,,,
"Franklin Park, Chicago """,The Hunger Games: Catching Fire,8-Aug,
,,,
"Harris Park, Chicago """,Cloudy with a Chance of Meatballs 2,8-Aug,
,,,
"Wrightwood Park, Chicago """,The Goonies,8-Aug,
"Open space for truffle shuffling.""",,,
,,,
"Eckhart Park, Chicago """,The Goonies,10-Aug,
"Open space for truffle shuffling.""",,,
,,,
"Indian Boundary Park, Chicago """,Anna Karenina,10-Aug,
,,,
"Rowan Park, Chicago """,The Goonies,10-Aug,
"Open space for truffle shuffling.""",,,
,,,
"Cricket Hill, Chicago """,True Grit,11-Aug,
,,,
"West Lawn Park, Chicago """,Turbo ,11-Aug,
,,,
"Millennium Park, Chicago """,American Graffiti,12-Aug,
,,,
"Chippewa Park, Chicago """,Despicable Me 2,12-Aug,
,,,
"Lawler Park, Chicago """,The Nut Job,12-Aug,
,,,
"Montgomery Ward Park, Chicago """,The Blind Side,12-Aug,
"Plenty of adoptable 300lb teenagers.""",,,
,,,
"Ogden Park, Chicago """,Are We There Yet?,13-Aug,
,,,
"South Shore Cultural Center, Chicago """,Claudine ,13-Aug,
,,,
"Graver Park, Chicago """,The Lego Movie,14-Aug,
,,,
"Hamlin Park, Chicago """,Despicable Me 2,14-Aug,
,,,
"J.P. Wilson Park, Chicago """,Roman Holiday,14-Aug,
"Lots of available seating for the elderly.""",,,
,,,
"Norwood Park, Chicago """,Free Birds,15-Aug,
"Family friendly activities and games.""",,,
,,,
"Roberts Square Park, Chicago """,The Nut Job,15-Aug,
"Family friendly activities and games.""",,,
,,,
"Cornell Square Park, Chicago """,Mr. Peabody & Sherman ,15-Aug,
,,,
"Jensen Park, Chicago """,Hotel Transylvania,15-Aug,
,,,
"Stanton Park, Chicago """,Despicable Me 2,15-Aug,
,,,
"DuSable Museum of African American History, Chicago """,Twenty Feet From Stardom,16-Aug,
,,,
"Ellis Park, Chicago """,The Lego Movie,16-Aug,
,,,
"Unity Playlot Park, Chicago """,Michael Jackson's This is It ,16-Aug,
,,,
"Berger Park Cultural Center, Chicago """,The Thin Man,17-Aug,
"Lots of available seating for the elderly.""",,,
,,,
"Piotrowski Park, Chicago """,The Wizard of Oz,17-Aug,
,,,
"Calumet Park, Chicago """,The Muppet Movie,18-Aug,
,,,
"Lake Shore Park, Chicago """,The Lego Movie,18-Aug,
,,,
"Millennium Park, Chicago """,Dreamgirls,19-Aug,
"(Editor's Note: be sure you're not confusing this movie with Showgirls.)""",,,
,,,
"Blackhawk Park, Chicago """,Instructions Not Included ,19-Aug,
,,,
"Fulton River Park, Chicago """,Fast & Furious 6,19-Aug,
"Nearby parking for your muscle car.""",,,
,,,
"Paschen Park, Chicago """,The Nut Job ,19-Aug,
,,,
"Chicago History Museum, Chicago """,The Princess Bride,20-Aug,
,,,
"Nichols Park, Chicago """,The Nut Job,20-Aug,
,,,
"South Shore Cultural Center, Chicago """,Car Wash,20-Aug,
,,,
"Lincoln Park Zoo, Chicago """,Harry Potter and the Sorcerer's Stone,21-Aug,
"After-hours zoo access and Lagunitas beers that might double as Horcrux-es!""",,,
,,,
"Arrigo Park, Chicago """,Back to the Future,21-Aug,
,,,
"Moore Park, Chicago """,Stomp the Yard ,21-Aug,
"Ample room for... stomping.""",,,
,,,
"Pasteur Park, Chicago """,The Goonies,21-Aug,
"Open space for truffle shuffling.""",,,
,,,
"Golden Gate Park, Chicago """,Man of Steel,22-Aug,
"Bathrooms for long, boring stretches of non-action.""",,,
,,,
"Humboldt Park, Chicago """,The Benchwarmers,22-Aug,
,,,
"Meyering Park, Chicago """,Ride Along,22-Aug,
,,,
"Mayfair Park, Chicago """,The Lego Movie,23-Aug,
"Family friendly activities and games that won't hurt like a mother when you step on them.""",,,
,,,
"Oz Park, Chicago """,The Wizard of Oz,23-Aug,
,,,
"Hamilton Park, Chicago """,The Help,24-Aug,
,,,
"Palmer Park, Chicago """,The Great Gatsby,24-Aug,
,,,
"Grant Park: Grove 5, Chicago """,Indiana Jones and the Temple of Doom,25-Aug,
"You can shout ""Kali Ma!"" as loud as you want.""",,,
,,,
"Shedd Park, Chicago """,The Amazing Spider-Man,25-Aug,
,,,
"South Shore Cultural Center, Chicago """,The Great Gatsby,25-Aug,
,,,
"Millennium Park, Chicago """,The Wizard of Oz,26-Aug,
,,,
"Emmerson Park, Chicago """,Star Trek: Into Darkness ,26-Aug,
,,,
"Lake Shore Park, Chicago """,The Hunger Games: Catching Fire,26-Aug,
,,,
"Montgomery Ward Park, Chicago """,The Lego Movie ,26-Aug,
,,,
"Trebes Park, Chicago """,Willy Wonka & the Chocolate Factory,27-Aug,
"Family friendly activities and games.""",,,
,,,
"Burnside Playlot, Chicago """,42,27-Aug,
,,,
"South Shore Cultural Center, Chicago """,The Wiz,27-Aug,
,,,
"Willye B. White Park, Chicago """,Cloudy with a Chance of Meatballs 2,27-Aug,
,,,
"Holstein Park, Chicago """,The Goonies,28-Aug,
"Open space for truffle shuffling.""",,,
,,,
