Location	MovieDate	Formatted_Address	Lat	Lng
Loyola Park, Chicago 	Aug-6 Despicable Me 2	Loyola Park, 1230 West Greenleaf Avenue, Chicago, IL 60626, USA	42.0108499	-87.6616126
Piotrowski Park, Chicago 	Aug-6 The Hunger Games: Catching Fire	Piotrowski Park, 4247 West 31st Street, Chicago, IL 60623, USA	41.8367407	-87.73089519999999
Austin-Foster Playlot Park, Chicago 	Aug-7 The Lego Movie	Chicago, IL, USA	41.8781136	-87.6297982
Augusta Park, Chicago 	Aug-7 Man of Steel	Augusta Park, 4433 West Augusta Boulevard, Chicago, IL 60651, USA	41.8985255	-87.7377301
Rosedale Park, Chicago 	Aug-7 Man of Steel	Rosedale Park, 6312 West Rosedale Avenue, Chicago, IL 60646, USA	41.98850729999999	-87.7857124
Wicker Park, Chicago 	Aug-7 The Hunt for Red October	Wicker Park, Chicago, IL, USA	41.9088028	-87.6795985
Jefferson Memorial Park, Chicago 	Aug-8 The Blues Brothers 	Jefferson Memorial Park, 4822 North Long Avenue, Chicago, IL 60630, USA	41.76083920000001	-87.6294353
Independence Park, Chicago 	Aug-8 The Lego Movie	Independence Park, 3945 North Springfield Avenue, Chicago, IL 60618, USA	41.9526374	-87.7237263
Franklin Park, Chicago 	Aug-8 The Hunger Games: Catching Fire	Franklin Park, 4320 West 15th Street, Chicago, IL 60623, USA	41.86061420000001	-87.73335639999999
Harris Park, Chicago 	Aug-8 Cloudy with a Chance of Meatballs 2	Harris Park, 6200 South Drexel Avenue, Chicago, IL 60637, USA	41.782162	-87.604829
Wrightwood Park, Chicago 	Aug-8 The Goonies	Wrightwood Park, Chicago, IL 60614, USA	41.9284194	-87.66689769999999
Eckhart Park, Chicago 	Aug-10 The Goonies	Eckhart Park, Chicago, IL 60642, USA	41.8974149	-87.6610738
Indian Boundary Park, Chicago 	Aug-10 Anna Karenina	Indian Boundary Park, 2500 West Lunt Avenue, Chicago, IL 60645, USA	42.0087181	-87.69250360000001
Rowan Park, Chicago 	Aug-10 The Goonies	Rowan Park Fieldhouse, 11546 South Avenue L, Chicago, IL 60617, USA	41.6849222	-87.5373738
Cricket Hill, Chicago 	Aug-11 True Grit	Cricket Hill, Chicago, IL 60640, USA	41.9642848	-87.642746
West Lawn Park, Chicago 	Aug-11 Turbo 	West Lawn Park, 4233 West 65th Street, Chicago, IL 60629, USA	41.7731153	-87.72870979999999
Millennium Park, Chicago 	Aug-12 American Graffiti 	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Chippewa Park, Chicago 	Aug-12 Despicable Me 2	Chippewa Park, 6748 North Sacramento Avenue, Chicago, IL 60645, USA	42.003874	-87.70460550000001
Lawler Park, Chicago 	Aug-12 The Nut Job	Lawler Park, 5210 West 64th Street, Chicago, IL 60638, USA	41.7760195	-87.75222269999999
Montgomery Ward Park, Chicago 	Aug-12 The Blind Side	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Ogden Park, Chicago 	Aug-13 Are We There Yet?	Ogden Park, 6500 South Racine Avenue, Chicago, IL 60636, USA	41.7749685	-87.6569435
South Shore Cultural Center, Chicago 	Aug-13 Claudine 	South Shore Cultural Center, 7059 South South Shore Drive, Chicago, IL 60649, USA	41.7673406	-87.5662985
Graver Park, Chicago 	Aug-14 The Lego Movie	Graver Park, 1518 West 102nd Place, Chicago, IL 60643, USA	41.7074472	-87.6604449
Hamlin Park, Chicago 	Aug-14 Despicable Me 2	Hamlin Park, 3035 North Hoyne Avenue, Chicago, IL 60618, USA	41.9365414	-87.68066019999999
J.P. Wilson Park, Chicago 	Aug-14 Roman Holiday	Wilson Park Fieldhouse, 4630 North Milwaukee Avenue, Chicago, IL 60630, USA	41.96451	-87.7586122
Norwood Park, Chicago 	Aug-15 Free Birds	Norwood Park, Chicago, IL, USA	41.9856315	-87.8069281
Roberts Square Park, Chicago 	Aug-15 The Nut Job	Roberts Square Park, Chicago, IL 60630, USA	41.9719069	-87.7588044
Cornell Square Park, Chicago 	Aug-15 Mr. Peabody & Sherman 	Cornell Square Park, 1809 West 50th Street, Chicago, IL 60609, USA	41.8020872	-87.67136649999999
Jensen Park, Chicago 	Aug-15 Hotel Transylvania	Jensen Park, 4600 North Lawndale Avenue, Chicago, IL 60625, USA	41.9656189	-87.721081
Stanton Park, Chicago 	Aug-15 Despicable Me 2	Stanton Park, 618 West Scott Street, Chicago, IL 60610, USA	41.9058208	-87.645686
DuSable Museum of African American History, Chicago 	Aug-16 Twenty Feet From Stardom	DuSable Museum of African American History, 740 East 56th Place, Chicago, IL 60637, USA	41.7918148	-87.6070993
Ellis Park, Chicago 	Aug-16 The Lego Movie	Ellis Park, 535 East 35th Street, Chicago, IL 60616, USA	41.8307505	-87.6109745
Unity Playlot Park, Chicago 	Aug-16 Michael Jackson's This is It 	Chicago, IL, USA	41.8781136	-87.6297982
Berger Park Cultural Center, Chicago 	Aug-17 The Thin Man	Chicago, IL, USA	41.8781136	-87.6297982
Piotrowski Park, Chicago 	Aug-17 The Wizard of Oz	Piotrowski Park, 4247 West 31st Street, Chicago, IL 60623, USA	41.8367407	-87.73089519999999
Calumet Park, Chicago 	Aug-18 The Muppet Movie	Calumet Park, United States	41.7179843	-87.5284578
Lake Shore Park, Chicago 	Aug-18 The Lego Movie	Lake Shore & North Ave, Chicago, IL 60610, USA	41.910497	-87.626317
Millennium Park, Chicago 	Aug-19 Dreamgirls	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Blackhawk Park, Chicago 	Aug-19 Instructions Not Included 	Blackhawk Park, 2318 North Lavergne Avenue, Chicago, IL 60639, USA	41.9230212	-87.752468
Fulton River Park, Chicago 	Aug-19 Fast & Furious 6	Fulton River Park, 601 West Kinzie Street, Chicago, IL 60654, USA	41.8888903	-87.6437764
Paschen Park, Chicago 	Aug-19 The Nut Job 	Paschen Park, Chicago, IL 60626, USA	42.0091887	-87.67984059999999
